listing_id,neighbourhood,property_area_sqft,property_age_years,listing_price_inr,size_group,age_group,price_per_sqft
PR0027,Central,2523,28,9645095.5,Luxury,21-30 Years,3822.867816091954
PR0028,Riverside,2021,28,14014806.0,Very Large,21-30 Years,6934.589807026225
PR0029,Suburb,1321,16,5900753.0,Medium,11-20 Years,4466.883421650265
PR0030,Riverside,1516,2,12331857.0,Large,0-5 Years,8134.470316622691
PR0031,Tech_Park,1024,7,6941359.0,Medium,6-10 Years,6778.6708984375
PR0032,Riverside,1550,10,11882629.0,Large,6-10 Years,7666.212258064516
PR0033,Tech_Park,2209,27,14809957.0,Very Large,21-30 Years,6704.371661385242
PR0034,Central,1440,34,9789751.0,Medium,31+ Years,6798.438194444445
PR0035,Central,1751,28,11718937.0,Large,21-30 Years,6692.711022272987
PR0036,University,666,4,4585132.0,Small,0-5 Years,6884.582582582582
PR0037,Tech_Park,1937,7,14630964.0,Large,6-10 Years,7553.414558595767
PR0038,Riverside,1247,18,8615374.0,Medium,11-20 Years,6908.880513231757
PR0039,University,734,0,4437511.0,Small,0-5 Years,6045.655313351499
PR0040,Central,2298,23,16251618.0,Very Large,21-30 Years,7072.070496083551
PR0041,Suburb,1436,35,5929095.0,Medium,31+ Years,4128.896239554318
PR0042,Suburb,1207,27,4924373.0,Medium,21-30 Years,4079.845070422535
PR0043,Suburb,1524,12,7136856.0,Large,11-20 Years,4682.976377952756
PR0044,Tech_Park,1658,9,12235574.0,Large,6-10 Years,7379.718938480097
PR0045,Riverside,1381,28,8866817.0,Medium,21-30 Years,6420.577118030413
PR0046,University,1484,19,8307684.0,Medium,11-20 Years,5598.169811320755
PR0047,Central,2003,7,15984077.0,Very Large,6-10 Years,7980.068397403894
PR0048,Suburb,1724,9,8907320.0,Large,6-10 Years,5166.658932714618
PR0049,Suburb,2143,26,9692116.0,Very Large,21-30 Years,4522.685954269716
PR0050,Tech_Park,662,8,5064338.0,Small,6-10 Years,7650.057401812689
PR0051,Suburb,1723,29,7471612.0,Large,21-30 Years,4336.396982008126
PR0052,Suburb,1836,0,10062962.0,Large,0-5 Years,5480.916122004357
PR0053,University,1934,7,11198955.0,Large,6-10 Years,5790.566184074457
PR0054,Suburb,2349,35,9448346.0,Very Large,31+ Years,4022.2843763303536
PR0055,University,610,26,3274992.0,Small,21-30 Years,5368.8393442622955
PR0056,Riverside,874,10,6154843.0,Small,6-10 Years,7042.154462242563
PR0057,Riverside,999,9,8492401.0,Small,6-10 Years,8500.901901901902
PR0058,Riverside,2249,24,16408396.0,Very Large,21-30 Years,7295.863050244553
PR0059,Riverside,651,12,5095776.0,Small,11-20 Years,7827.612903225807
PR0060,Central,1565,15,12831614.0,Large,11-20 Years,8199.114376996806
PR0061,Central,2434,9,18686503.0,Very Large,6-10 Years,7677.281429745275
PR0062,University,2584,30,14009407.0,Luxury,21-30 Years,5421.59713622291
PR0063,University,994,3,6055084.0,Small,0-5 Years,6091.633802816901
PR0064,Central,2489,12,20388363.0,Very Large,11-20 Years,8191.3873041382085
PR0065,Central,2210,20,16633755.0,Very Large,11-20 Years,7526.585972850678
PR0066,Central,1770,32,12145035.0,Large,31+ Years,6861.6016949152545
PR0067,University,1502,20,7650560.0,Large,11-20 Years,5093.58189081225
PR0068,Suburb,975,26,4012079.0,Small,21-30 Years,4114.952820512821
PR0069,University,1056,22,6296690.0,Medium,21-30 Years,5962.774621212121
PR0070,Suburb,1045,16,5074256.0,Medium,11-20 Years,4855.747368421053
PR0071,Tech_Park,1602,12,10444970.0,Large,11-20 Years,6519.956304619226
PR0072,Central,975,16,7986114.0,Small,11-20 Years,8190.886153846154
PR0073,Tech_Park,1239,6,8480930.0,Medium,6-10 Years,6844.97982243745
PR0074,Suburb,946,21,4705598.0,Small,21-30 Years,4974.205073995771
PR0075,Riverside,2595,4,19827007.0,Luxury,0-5 Years,7640.465125240848
PR0076,Central,992,7,8056930.0,Small,6-10 Years,8121.905241935484
PR0077,Tech_Park,2487,4,20688123.0,Very Large,0-5 Years,8318.50542822678
PR0078,University,1912,32,9333841.0,Large,31+ Years,4881.716004184101
PR0079,Tech_Park,1084,21,7140504.0,Medium,21-30 Years,6587.180811808118
PR0080,Central,2118,4,16759643.0,Very Large,0-5 Years,7912.957034938621
PR0081,Suburb,2396,29,11023360.0,Very Large,21-30 Years,4600.7345575959935
PR0082,Central,1158,33,7292105.0,Medium,31+ Years,6297.154576856649
PR0083,Tech_Park,1540,33,9598075.0,Large,31+ Years,6232.516233766234
PR0084,Riverside,1107,10,7935319.0,Medium,6-10 Years,7168.309846431797
PR0085,Central,1650,31,12263242.0,Large,31+ Years,7432.2678787878785
PR0086,Suburb,2331,11,12934463.0,Very Large,11-20 Years,5548.890175890176
PR0087,Riverside,1633,5,14261292.0,Large,0-5 Years,8733.185548071035
PR0088,Central,2252,6,18509853.0,Very Large,6-10 Years,8219.295293072824
PR0089,University,2529,35,12461239.0,Luxury,31+ Years,4927.338473705022
PR0090,Central,1838,17,15877773.0,Large,11-20 Years,8638.614254624592
PR0091,Suburb,1473,29,6671691.0,Medium,21-30 Years,4529.321792260693
PR0092,Riverside,979,21,7243078.0,Small,21-30 Years,7398.445352400408
PR0093,Tech_Park,1912,20,13210764.0,Large,11-20 Years,6909.395397489539
PR0094,Central,2210,14,16857183.0,Very Large,11-20 Years,7627.684615384615
PR0095,Riverside,862,30,4991901.0,Small,21-30 Years,5791.068445475638
PR0096,Central,898,15,7373137.0,Small,11-20 Years,8210.62026726058
PR0097,Central,1541,12,13807391.0,Large,11-20 Years,8960.020116807267
PR0098,University,1914,33,8670047.0,Large,31+ Years,4529.805120167189
PR0099,Riverside,647,21,4443768.0,Small,21-30 Years,6868.265842349305
PR0100,Central,1405,29,10322145.0,Medium,21-30 Years,7346.722419928826
PR0101,Central,954,12,7516156.0,Small,11-20 Years,7878.570230607967
PR0102,Central,2267,35,14011405.0,Very Large,31+ Years,6180.593295103661
PR0103,University,1646,0,10948755.0,Large,0-5 Years,6651.734507897934
PR0104,Suburb,2097,11,10122711.0,Very Large,11-20 Years,4827.234620886981
PR0105,University,1087,31,5003238.0,Medium,31+ Years,4602.794848206072
PR0106,Central,1192,32,7958319.0,Medium,31+ Years,6676.442114093959
PR0107,Suburb,1496,14,7420164.0,Medium,11-20 Years,4960.002673796792
PR0108,Central,1416,26,11170751.0,Medium,21-30 Years,7888.948446327684
PR0109,Riverside,751,18,5364060.0,Small,11-20 Years,7142.556591211718
PR0110,Suburb,1569,0,9645095.5,Large,0-5 Years,6147.288400254939
PR0111,Central,1120,8,9428535.0,Medium,6-10 Years,8418.33482142857
PR0112,Tech_Park,1396,10,11121025.0,Medium,6-10 Years,7966.350286532951
PR0113,Central,1393,5,11994785.0,Medium,0-5 Years,8610.75735821967
PR0114,Tech_Park,807,22,4775871.0,Small,21-30 Years,5918.055762081784
PR0115,Central,1682,19,13785998.0,Large,11-20 Years,8196.193816884661
PR0116,Riverside,1301,35,7802817.0,Medium,31+ Years,5997.553420445811
PR0117,Riverside,1988,8,16346551.0,Large,6-10 Years,8222.611167002013
PR0118,Suburb,798,33,3007764.0,Small,31+ Years,3769.127819548872
PR0119,Suburb,1857,2,9919070.0,Large,0-5 Years,5341.448572967151
PR0120,Tech_Park,2002,25,11426601.0,Very Large,21-30 Years,5707.592907092907
